HCPCS,MOD,DESCRIPTION,STATUS
81324,,Pmp22 gene dup/delet,X
81325,,Pmp22 gene full sequence,X
81326,,Pmp22 gene known fam variant,X
81327,,Sept9 gen prmtr mthyltn alys,X
81328,,Slco1b1 gene com variants,X
81329,,Smn1 gene dos/deletion alys,X
81330,,Smpd1 gene common variants,X
81331,,Snrpn/ube3a gene,X
81332,,Serpina1 gene,X
81333,,Tgfbi gene common variants,X
81334,,Runx1 gene targeted seq alys,X
81335,,Tpmt gene com variants,X
81336,,Smn1 gene full gene sequence,X
81337,,Smn1 gen nown famil seq vrnt,X
81338,,Mpl gene common variants,X
81339,,Mpl gene seq alys exon 10,X
81340,,Trb@ gene rearrange amplify,X
81341,,Trb@ gene rearrange dirprobe,X
81342,,Trg gene rearrangement anal,X
81343,,Ppp2r2b gen detc abnor allel,X
81344,,Tbp gene detc abnor alleles,X
81345,,Tert gene targeted seq alys,X
81346,,Tyms gene com variants,X
81347,,Sf3b1 gene common variants,X
81348,,Srsf2 gene common variants,X
81349,,Cytog alys chrml abnr lw-ps,X
81350,,Ugt1a1 gene common variants,X
81351,,Tp53 gene full gene sequence,X
81352,,Tp53 gene trgt sequence alys,X
81353,,Tp53 gene known famil vrnt,X
81355,,Vkorc1 gene,X
81357,,U2af1 gene common variants,X
81360,,Zrsr2 gene common variants,X
81361,,Hbb gene com variants,X
81362,,Hbb gene known fam variant,X
81363,,Hbb gene dup/del variants,X
81364,,Hbb full gene sequence,X
81370,,Hla i & ii typing lr,X
81371,,Hla i & ii type verify lr,X
81372,,Hla i typing complete lr,X
81373,,Hla i typing 1 locus lr,X
81374,,Hla i typing 1 antigen lr,X
81375,,Hla ii typing ag equiv lr,X
81376,,Hla ii typing 1 locus lr,X
81377,,Hla ii type 1 ag equiv lr,X
81378,,Hla i & ii typing hr,X
81379,,Hla i typing complete hr,X
81380,,Hla i typing 1 locus hr,X
81381,,Hla i typing 1 allele hr,X
81382,,Hla ii typing 1 loc hr,X
81383,,Hla ii typing 1 allele hr,X
81400,,Mopath procedure level 1,X
81401,,Mopath procedure level 2,X
81402,,Mopath procedure level 3,X
81403,,Mopath procedure level 4,X
81404,,Mopath procedure level 5,X
81405,,Mopath procedure level 6,X
81406,,Mopath procedure level 7,X
81407,,Mopath procedure level 8,X
81408,,Mopath procedure level 9,X
81410,,Aortic dysfunction/dilation,X
81411,,Aortic dysfunction/dilation,X
81412,,Ashkenazi jewish assoc dis,X
81413,,Car ion chnnlpath inc 10 gns,X
81414,,Car ion chnnlpath inc 2 gns,X
81415,,Exome sequence analysis,X
81416,,Exome sequence analysis,X
81417,,Exome re-evaluation,X
81418,,Rx metab gen seq alys pnl 6,X
81419,,Epilepsy gen seq alys panel,X
81420,,Fetal chrmoml aneuploidy,X
81422,,Fetal chrmoml microdeltj,X
81425,,Genome sequence analysis,X
81426,,Genome sequence analysis,X
81427,,Genome re-evaluation,X
81430,,Hearing loss sequence analys,X
81431,,Hearing loss dup/del analys,X
81432,,Hrdtry brst ca-rlatd dsordrs,X
81433,,Hrdtry brst ca-rlatd dsordrs,X
81434,,Hereditary retinal disorders,X
81435,,Hereditary colon ca dsordrs,X
81436,,Hereditary colon ca dsordrs,X
81437,,Heredtry nurondcrn tum dsrdr,X
81438,,Heredtry nurondcrn tum dsrdr,X
81439,,Hrdtry cardmypy gene panel,X
81440,,Mitochondrial gene,X
81441,,Ibmfs seq alys pnl 30 genes,X
81442,,Noonan spectrum disorders,X
81443,,Genetic tstg severe inh cond,X
81445,,So neo gsap 5-50dna/dna&rna,X
81448,,Hrdtry perph neurphy panel,X
81449,,So neo gsap 5-50 rna alys,X
81450,,Hl neo gsap 5-50dna/dna&rna,X
81451,,Hl neo gsap 5-50 rna alys,X
81455,,So/hl 51/>gsap dna/dna&rna,X
81456,,So/hl 51/>gsap rna alys,X
81457,,So neo gsap dna mcrstl ins,X
81458,,So gsap dna cpy nmbr&mcrstl,X
81459,,So neo gsap dna/dna&rna,X
81460,,Whole mitochondrial genome,X
81462,,So gsap cll fr dna/dna&rna,X
81463,,So gsap cl fr cpy nmbr&mcrst,X
81464,,So gsap cll fr mcrstl ins,X
81465,,Whole mitochondrial genome,X
81470,,X-linked intellectual dblt,X
81471,,X-linked intellectual dblt,X
81479,,Unlisted molecular pathology,X
81490,,Autoimmune ra alys 12 bmrk,X
81493,,Cor artery disease mrna,X
81500,,Onco (ovar) two proteins,X
81503,,Onco (ovar) five proteins,X
81504,,Oncology tissue of origin,X
81506,,Endo assay seven anal,X
81507,,Fetal aneuploidy trisom risk,X
81508,,Ftl cgen abnor two proteins,X
81509,,Ftl cgen abnor 3 proteins,X
81510,,Ftl cgen abnor three anal,X
81511,,Ftl cgen abnor four anal,X
81512,,Ftl cgen abnor five anal,X
81513,,Nfct ds bv rna vag flu alg,X
81514,,Nfct ds bv&vaginitis dna alg,X
81517,,Liver ds alys 3 bmrk srm alg,X
81518,,Onc brst mrna 11 genes,X
81519,,Oncology breast mrna,X
81520,,Onc breast mrna 58 genes,X
81521,,Onc breast mrna 70 genes,X
81522,,Onc breast mrna 12 genes,X
81523,,Onc brst mrna 70 cnt 31 gene,X
81525,,Oncology colon mrna,X
81528,,Oncology colorectal scr,X
81529,,Onc cutan mlnma mrna 31 gene,X
81535,,Oncology gynecologic,X
81536,,Oncology gynecologic,X
81538,,Oncology lung,X
81539,,Oncology prostate prob score,X
81540,,Oncology tum unknown origin,X
81541,,Onc prostate mrna 46 genes,X
81542,,Onc prostate mrna 22 cnt gen,X
81546,,"Onc thyr mrna 10,196 gen alg",X
81551,,Onc prostate 3 genes,X
81552,,Onc uveal mlnma mrna 15 gene,X
81554,,Pulm ds ipf mrna 190 gen alg,X
81560,,Trnsplj pd lvr&bwl cd154+cll,X
81595,,Cardiology hrt trnspl mrna,X
81596,,Nfct ds chrnc hcv 6 assays,X
81599,,Unlisted maaa,X
82009,,Test for acetone/ketones,X
82010,,Acetone assay,X
82013,,Acetylcholinesterase assay,X
82016,,Acylcarnitines qual,X
82017,,Acylcarnitines quant,X
82024,,Assay of acth,X
82030,,Assay of adp & amp,X
82040,,Assay of serum albumin,X
82042,,Other source albumin quan ea,X
82043,,Ur albumin quantitative,X
82044,,Ur albumin semiquantitative,X
82045,,Albumin ischemia modified,X
82075,,Assay of breath ethanol,X
82077,,Assay spec xcp ur&breath ia,X
82085,,Assay of aldolase,X
82088,,Assay of aldosterone,X
82103,,Alpha-1-antitrypsin total,X
82104,,Alpha-1-antitrypsin pheno,X
82105,,Alpha-fetoprotein serum,X
82106,,Alpha-fetoprotein amniotic,X
82107,,Alpha-fetoprotein l3,X
82108,,Assay of aluminum,X
82120,,Amines vaginal fluid qual,X
82127,,Amino acid single qual,X
82128,,Amino acids mult qual,X
82131,,Amino acids single quant,X
82135,,Assay aminolevulinic acid,X
82136,,Amino acids quant 2-5,X
82139,,Amino acids quan 6 or more,X
82140,,Assay of ammonia,X
82143,,Amniotic fluid scan,X
82150,,Assay of amylase,X
82154,,Androstanediol glucuronide,X
82157,,Assay of androstenedione,X
82160,,Assay of androsterone,X
82163,,Assay of angiotensin ii,X
82164,,Angiotensin i enzyme test,X
82166,,Assay anti-mullerian horm,X
82172,,Assay of apolipoprotein,X
82175,,Assay of arsenic,X
82180,,Assay of ascorbic acid,X
82190,,Atomic absorption,X
82232,,Assay of beta-2 protein,X
82239,,Bile acids total,X
82240,,Bile acids cholylglycine,X
82247,,Bilirubin total,X
82248,,Bilirubin direct,X
82252,,Fecal bilirubin test,X
82261,,Assay of biotinidase,X
82270,,Occult blood feces,X
82271,,Occult blood other sources,X
82272,,Occult bld feces 1-3 tests,X
82274,,Assay test for blood fecal,X
82286,,Assay of bradykinin,X
82300,,Assay of cadmium,X
82306,,Vitamin d 25 hydroxy,X
82308,,Assay of calcitonin,X
82310,,Assay of calcium,X
82330,,Assay of calcium,X
82331,,Calcium infusion test,X
82340,,Assay of calcium in urine,X
82355,,Calculus analysis qual,X
82360,,Calculus assay quant,X
82365,,Calculus spectroscopy,X
82370,,X-ray assay calculus,X
82373,,Assay c-d transfer measure,X
82374,,Assay blood carbon dioxide,X
82375,,Assay carboxyhb quant,X
82376,,Assay carboxyhb qual,X
82378,,Carcinoembryonic antigen,X
82379,,Assay of carnitine,X
82380,,Assay of carotene,X
82382,,Assay urine catecholamines,X
82383,,Assay blood catecholamines,X
82384,,Assay three catecholamines,X
82387,,Assay of cathepsin-d,X
82390,,Assay of ceruloplasmin,X
82397,,Chemiluminescent assay,X
82415,,Assay of chloramphenicol,X
82435,,Assay of blood chloride,X
82436,,Assay of urine chloride,X
82438,,Assay other fluid chlorides,X
82441,,Test for chlorohydrocarbons,X
82465,,Assay bld/serum cholesterol,X
82480,,Assay serum cholinesterase,X
82482,,Assay rbc cholinesterase,X
82485,,Assay chondroitin sulfate,X
82495,,Assay of chromium,X
82507,,Assay of citrate,X
82523,,Collagen crosslinks,X
82525,,Assay of copper,X
82528,,Assay of corticosterone,X
82530,,Cortisol free,X
82533,,Total cortisol,X
82540,,Assay of creatine,X
82542,,Col chromotography qual/quan,X
82550,,Assay of ck (cpk),X
82552,,Assay of cpk in blood,X
82553,,Creatine mb fraction,X
82554,,Creatine isoforms,X
82565,,Assay of creatinine,X
82570,,Assay of urine creatinine,X
82575,,Creatinine clearance test,X
82585,,Assay of cryofibrinogen,X
82595,,Assay of cryoglobulin,X
82600,,Assay of cyanide,X
82607,,Vitamin b-12,X
82608,,B-12 binding capacity,X
82610,,Cystatin c,X
82615,,Test for urine cystines,X
82626,,Dehydroepiandrosterone,X
82627,,Dehydroepiandrosterone,X
82633,,Desoxycorticosterone,X
82634,,Deoxycortisol,X
82638,,Assay of dibucaine number,X
82642,,Dihydrotestosterone,X
82652,,Vit d 1 25-dihydroxy,X
82653,,El-1 fecal quantitative,X
82656,,El-1 fecal qual/semiq,X
82657,,Enzyme cell activity,X
82658,,Enzyme cell activity ra,X
82664,,Electrophoretic test,X
82668,,Assay of erythropoietin,X
82670,,Assay of total estradiol,X
82671,,Assay of estrogens,X
82672,,Assay of estrogen,X
82677,,Assay of estriol,X
82679,,Assay of estrone,X
82681,,Assay dir meas fr estradiol,X
82693,,Assay of ethylene glycol,X
82696,,Assay of etiocholanolone,X
82705,,Fats/lipids feces qual,X
82710,,Fats/lipids feces quant,X
82715,,Assay of fecal fat,X
82725,,Assay of blood fatty acids,X
82726,,Long chain fatty acids,X
82728,,Assay of ferritin,X
82731,,Assay of fetal fibronectin,X
82735,,Assay of fluoride,X
82746,,Assay of folic acid serum,X
82747,,Assay of folic acid rbc,X
82757,,Assay of semen fructose,X
82759,,Assay of rbc galactokinase,X
82760,,Assay of galactose,X
82775,,Assay galactose transferase,X
82776,,Galactose transferase test,X
82777,,Galectin-3,X
82784,,Assay iga/igd/igg/igm each,X
82785,,Assay of ige,X
82787,,Igg 1 2 3 or 4 each,X
82800,,Blood ph,X
82803,,Blood gases any combination,X
82805,,Blood gases w/o2 saturation,X
82810,,Blood gases o2 sat only,X
82820,,Hemoglobin-oxygen affinity,X
82930,,Gastric analy w/ph ea spec,X
82938,,Gastrin test,X
82941,,Assay of gastrin,X
82943,,Assay of glucagon,X
82945,,Glucose other fluid,X
82946,,Glucagon tolerance test,X
82947,,Assay glucose blood quant,X
82948,,Reagent strip/blood glucose,X
82950,,Glucose test,X
82951,,Glucose tolerance test (gtt),X
82952,,Gtt-added samples,X
82955,,Assay of g6pd enzyme,X
82960,,Test for g6pd enzyme,X
82962,,Glucose blood test,X
82963,,Assay of glucosidase,X
82965,,Assay of gdh enzyme,X
82977,,Assay of ggt,X
82978,,Assay of glutathione,X
82979,,Assay rbc glutathione,X
82985,,Assay of glycated protein,X
83001,,Assay of gonadotropin (fsh),X
83002,,Assay of gonadotropin (lh),X
83003,,Assay growth hormone (hgh),X
83006,,Growth stimulation gene 2,X
83009,,H pylori (c-13) blood,X
83010,,Assay of haptoglobin quant,X
83012,,Assay of haptoglobins,X
83013,,H pylori (c-13) breath,X
83014,,H pylori drug admin,X
83015,,Heavy metal qual any anal,X
83018,,Heavy metal quant each nes,X
83020,,Hemoglobin electrophoresis,X
83020,26,Hemoglobin electrophoresis,A
83021,,Hemoglobin chromotography,X
83026,,Hemoglobin copper sulfate,X
83030,,Hemoglobin f fetal chemical,X
83033,,Hemoglobin ftl f assay qual,X
83036,,Hemoglobin glycosylated a1c,X
83037,,Hb glycosylated a1c home dev,X
83045,,Hgb methemoglobin qual,X
83050,,Hgb methemoglobin quan,X
83051,,Hemoglobin plasma,X
83060,,Hgb sulfhemoglobin quan,X
83065,,Hemoglobin thermolabile,X
83068,,Hemoglobin unstable screen,X
83069,,Hemoglobin urine,X
83070,,Assay of hemosiderin qual,X
83080,,Assay of b hexosaminidase ea,X
83088,,Assay of histamine,X
83090,,Assay of homocysteine,X
83150,,Assay of homovanillic acid,X
83491,,Asy hydroxycorticosteroids17,X
83497,,Assay of 5-hiaa,X
83498,,Asy hydroxyprogesterone 17-d,X
83500,,Assay free hydroxyproline,X
83505,,Assay total hydroxyproline,X
83516,,Immunoassay nonantibody,X
83518,,Immunoassay dipstick,X
83519,,Ria nonantibody,X
83520,,Immunoassay quant nos nonab,X
83521,,Ig light chains free each,X
83525,,Assay of insulin,X
83527,,Assay of insulin,X
83528,,Assay of intrinsic factor,X
83529,,Asay of interleukin-6 (il-6),X
83540,,Assay of iron,X
83550,,Iron binding test,X
83570,,Assay of idh enzyme,X
83582,,Assay of ketogenic steroids,X
83586,,Assay 17- ketosteroids,X
83593,,Fractionation ketosteroids,X
83605,,Assay of lactic acid,X
83615,,Lactate (ld) (ldh) enzyme,X
83625,,Assay of ldh enzymes,X
83630,,Lactoferrin fecal (qual),X
83631,,Lactoferrin fecal (quant),X
83632,,Placental lactogen,X
83633,,Test urine for lactose,X
83655,,Assay of lead,X
83661,,L/s ratio fetal lung,X
83662,,Foam stability fetal lung,X
83663,,Fluoro polarize fetal lung,X
83664,,Lamellar bdy fetal lung,X
83670,,Assay of lap enzyme,X
83690,,Assay of lipase,X
83695,,Assay of lipoprotein(a),X
83698,,Assay lipoprotein pla2,X
83700,,Lipopro bld electrophoretic,X
83701,,Lipoprotein bld hr fraction,X
83704,,Lipoprotein bld quan part,X
83718,,Assay of lipoprotein,X
83719,,Assay of blood lipoprotein,X
83721,,Assay of blood lipoprotein,X
83722,,Lipoprtn dir meas sd ldl chl,X
83727,,Assay of lrh hormone,X
83735,,Assay of magnesium,X
83775,,Assay malate dehydrogenase,X
83785,,Assay of manganese,X
83789,,Mass spectrometry qual/quan,X
83825,,Assay of mercury,X
83835,,Assay of metanephrines,X
83857,,Assay of methemalbumin,X
83861,,Microfluid analy tears,X
83864,,Mucopolysaccharides,X
83872,,Assay synovial fluid mucin,X
83873,,Assay of csf protein,X
83874,,Assay of myoglobin,X
83876,,Assay myeloperoxidase,X
83880,,Assay of natriuretic peptide,X
83883,,Assay nephelometry not spec,X
83885,,Assay of nickel,X
83915,,Assay of nucleotidase,X
83916,,Oligoclonal bands,X
83918,,Organic acids total quant,X
83919,,Organic acids qual each,X
83921,,Organic acid single quant,X
83930,,Assay of blood osmolality,X
83935,,Assay of urine osmolality,X
83937,,Assay of osteocalcin,X
83945,,Assay of oxalate,X
83950,,Oncoprotein her-2/neu,X
83951,,Oncoprotein dcp,X
83970,,Assay of parathormone,X
83986,,Assay ph body fluid nos,X
83987,,Exhaled breath condensate,X
83992,,Assay for phencyclidine,I
83993,,Assay for calprotectin fecal,X
84030,,Assay of blood pku,X
84035,,Assay of phenylketones,X
84060,,Assay acid phosphatase,X
84066,,Assay prostate phosphatase,X
84075,,Assay alkaline phosphatase,X
84078,,Assay alkaline phosphatase,X
84080,,Assay alkaline phosphatases,X
84081,,Assay phosphatidylglycerol,X
84085,,Assay of rbc pg6d enzyme,X
84087,,Assay phosphohexose enzymes,X
84100,,Assay of phosphorus,X
84105,,Assay of urine phosphorus,X
84106,,Test for porphobilinogen,X
84110,,Assay of porphobilinogen,X
84112,,Eval amniotic fluid protein,X
84119,,Test urine for porphyrins,X
84120,,Assay of urine porphyrins,X
84126,,Assay of feces porphyrins,X
84132,,Assay of serum potassium,X
84133,,Assay of urine potassium,X
84134,,Assay of prealbumin,X
84135,,Assay of pregnanediol,X
84138,,Assay of pregnanetriol,X
84140,,Assay of pregnenolone,X
84143,,Assay of 17-hydroxypregneno,X
84144,,Assay of progesterone,X
84145,,Procalcitonin (pct),X
84146,,Assay of prolactin,X
84150,,Assay of prostaglandin,X
84152,,Assay of psa complexed,X
84153,,Assay of psa total,X
84154,,Assay of psa free,X
84155,,Assay of protein serum,X
84156,,Assay of protein urine,X
84157,,Assay of protein other,X
84160,,Assay of protein any source,X
84163,,Pappa serum,X
84165,,Protein e-phoresis serum,X
84165,26,Protein e-phoresis serum,A
84166,,Protein e-phoresis/urine/csf,X
84166,26,Protein e-phoresis/urine/csf,A
84181,,Western blot test,X
84181,26,Western blot test,A
84182,,Protein western blot test,X
84182,26,Protein western blot test,A
84202,,Assay rbc protoporphyrin,X
84203,,Test rbc protoporphyrin,X
84206,,Assay of proinsulin,X
84207,,Assay of vitamin b-6,X
84210,,Assay of pyruvate,X
84220,,Assay of pyruvate kinase,X
84228,,Assay of quinine,X
84233,,Assay of estrogen,X
84234,,Assay of progesterone,X
84235,,Assay of endocrine hormone,X
84238,,Assay nonendocrine receptor,X
84244,,Assay of renin,X
84252,,Assay of vitamin b-2,X
84255,,Assay of selenium,X
84260,,Assay of serotonin,X
84270,,Assay of sex hormone globul,X
84275,,Assay of sialic acid,X
84285,,Assay of silica,X
84295,,Assay of serum sodium,X
84300,,Assay of urine sodium,X
84302,,Assay of sweat sodium,X
84305,,Assay of somatomedin,X
84307,,Assay of somatostatin,X
84311,,Spectrophotometry,X
84315,,Body fluid specific gravity,X
84375,,Chromatogram assay sugars,X
84376,,Sugars single qual,X
84377,,Sugars multiple qual,X
84378,,Sugars single quant,X
84379,,Sugars multiple quant,X
84392,,Assay of urine sulfate,X
84402,,Assay of free testosterone,X
84403,,Assay of total testosterone,X
84410,,Testosterone bioavailable,X
84425,,Assay of vitamin b-1,X
84430,,Assay of thiocyanate,X
84431,,Thromboxane urine,X
84432,,Assay of thyroglobulin,X
84433,,Asy thiopurin s-mthyltrnsfrs,X
84436,,Assay of total thyroxine,X
84437,,Assay of neonatal thyroxine,X
84439,,Assay of free thyroxine,X
84442,,Assay of thyroid activity,X
84443,,Assay thyroid stim hormone,X
84445,,Assay of tsi globulin,X
84446,,Assay of vitamin e,X
84449,,Assay of transcortin,X
84450,,Transferase (ast) (sgot),X
84460,,Alanine amino (alt) (sgpt),X
84466,,Assay of transferrin,X
84478,,Assay of triglycerides,X
84479,,Assay of thyroid (t3 or t4),X
84480,,Assay triiodothyronine (t3),X
84481,,Free assay (ft-3),X
84482,,T3 reverse,X
84484,,Assay of troponin quant,X
84485,,Assay duodenal fluid trypsin,X
84488,,Test feces for trypsin,X
84490,,Assay of feces for trypsin,X
84510,,Assay of tyrosine,X
84512,,Assay of troponin qual,X
84520,,Assay of urea nitrogen,X
84525,,Urea nitrogen semi-quant,X
84540,,Assay of urine/urea-n,X
84545,,Urea-n clearance test,X
84550,,Assay of blood/uric acid,X
84560,,Assay of urine/uric acid,X
84577,,Assay of feces/urobilinogen,X
84578,,Test urine urobilinogen,X
84580,,Assay of urine urobilinogen,X
84583,,Assay of urine urobilinogen,X
84585,,Assay of urine vma,X
84586,,Assay of vip,X
84588,,Assay of vasopressin,X
84590,,Assay of vitamin a,X
84591,,Assay of nos vitamin,X
84597,,Assay of vitamin k,X
84600,,Assay of volatiles,X
84620,,Xylose tolerance test,X
84630,,Assay of zinc,X
84681,,Assay of c-peptide,X
84702,,Chorionic gonadotropin test,X
84703,,Chorionic gonadotropin assay,X
84704,,Hcg free betachain test,X
84830,,Ovulation tests,X
84999,,Unlisted chemistry procedure,X
85002,,Bleeding time test,X
85004,,Automated diff wbc count,X
85007,,Bl smear w/diff wbc count,X
85008,,Bl smear w/o diff wbc count,X
85009,,Manual diff wbc count b-coat,X
85013,,Spun microhematocrit,X
85014,,Hematocrit,X
85018,,Hemoglobin,X
85025,,Complete cbc w/auto diff wbc,X
85027,,Complete cbc automated,X
85032,,Manual cell count each,X
85041,,Automated rbc count,X
85044,,Manual reticulocyte count,X
85045,,Automated reticulocyte count,X
85046,,Reticyte/hgb concentrate,X
85048,,Automated leukocyte count,X
85049,,Automated platelet count,X
85055,,Reticulated platelet assay,X
85060,,Blood smear interpretation,A
85097,,Bone marrow interpretation,A
85130,,Chromogenic substrate assay,X
85170,,Blood clot retraction,X
85175,,Blood clot lysis time,X
85210,,Clot factor ii prothrom spec,X
85220,,Blooc clot factor v test,X
85230,,Clot factor vii proconvertin,X
85240,,Clot factor viii ahg 1 stage,X
85244,,Clot factor viii reltd antgn,X
85245,,Clot factor viii vw ristoctn,X
85246,,Clot factor viii vw antigen,X
85247,,Clot factor viii multimetric,X
85250,,Clot factor ix ptc/chrstmas,X
85260,,Clot factor x stuart-power,X
85270,,Clot factor xi pta,X
85280,,Clot factor xii hageman,X
85290,,Clot factor xiii fibrin stab,X
85291,,Clot factor xiii fibrin scrn,X
85292,,Clot factor fletcher fact,X
85293,,Clot factor wght kininogen,X
85300,,Antithrombin iii activity,X
85301,,Antithrombin iii antigen,X
85302,,Clot inhibit prot c antigen,X
85303,,Clot inhibit prot c activity,X
85305,,Clot inhibit prot s total,X
85306,,Clot inhibit prot s free,X
85307,,Assay activated protein c,X
85335,,Factor inhibitor test,X
85337,,Thrombomodulin,X
85345,,Coagulation time lee & white,X
85347,,Coagulation time activated,X
85348,,Coagulation time otr method,X
85360,,Euglobulin lysis,X
85362,,Fibrin degradation products,X
85366,,Fibrinogen test,X
85370,,Fibrinogen test,X
85378,,Fibrin degrade semiquant,X
85379,,Fibrin degradation quant,X
85380,,Fibrin degradj d-dimer,X
85384,,Fibrinogen activity,X
85385,,Fibrinogen antigen,X
85390,,Fibrinolysins screen i&r,X
85390,26,Fibrinolysins screen i&r,A
85396,,Clotting assay whole blood,A
85397,,Clotting funct activity,X
85400,,Fibrinolytic plasmin,X
85410,,Fibrinolytic antiplasmin,X
85415,,Fibrinolytic plasminogen,X
85420,,Fibrinolytic plasminogen,X
85421,,Fibrinolytic plasminogen,X
85441,,Heinz bodies direct,X
85445,,Heinz bodies induced,X
85460,,Hemoglobin fetal,X
85461,,Hemoglobin fetal,X
85475,,Hemolysin acid,X
85520,,Heparin assay,X
85525,,Heparin neutralization,X
85530,,Heparin-protamine tolerance,X
85536,,Iron stain peripheral blood,X
85540,,Wbc alkaline phosphatase,X
85547,,Rbc mechanical fragility,X
85549,,Muramidase,X
85555,,Rbc osmotic fragility,X
85557,,Rbc osmotic fragility,X
85576,,Blood platelet aggregation,X
85576,26,Blood platelet aggregation,A
85597,,Phospholipid pltlt neutraliz,X
85598,,Hexagnal phosph pltlt neutrl,X
85610,,Prothrombin time,X
85611,,Prothrombin test,X
85612,,Viper venom prothrombin time,X
85613,,Russell viper venom diluted,X
85635,,Reptilase test,X
85651,,Rbc sed rate nonautomated,X
85652,,Rbc sed rate automated,X
85660,,Rbc sickle cell test,X
85670,,Thrombin time plasma,X
85675,,Thrombin time titer,X
85705,,Thromboplastin inhibition,X
85730,,Thromboplastin time partial,X
85732,,Thromboplastin time partial,X
85810,,Blood viscosity examination,X
85999,,Unlisted hematology&coagj px,X
86000,,Agglutinins febrile antigen,X
86001,,Allergen specific igg,X
86003,,Allg spec ige crude xtrc ea,X
86005,,Allg spec ige multiallg scr,X
86008,,Allg spec ige recomb ea,X
86015,,Actin antibody each,X
86021,,Wbc antibody identification,X
86022,,Platelet antibodies,X
86023,,Immunoglobulin assay,X
86036,,Anca screen each antibody,X
86037,,Anca titer each antibody,X
86038,,Antinuclear antibodies,X
86039,,Antinuclear antibodies (ana),X
86041,,Acetylcholn rcptr bndng antb,X
86042,,Acetylcholn rcptr blckg antb,X
86043,,Acetylcholn rcptr modlg antb,X
86051,,Aquaporin-4 antb elisa,X
86052,,Aquaporin-4 antb cba each,X
86053,,Aqaprn-4 antb flo cytmtry ea,X
86060,,Antistreptolysin o titer,X
86063,,Antistreptolysin o screen,X
86077,,Phys blood bank serv xmatch,A
86078,,Phys blood bank serv reactj,A
86079,,Phys blood bank serv authrj,A
86140,,C-reactive protein,X
86141,,C-reactive protein hs,X
86146,,Beta-2 glycoprotein antibody,X
86147,,Cardiolipin antibody ea ig,X
86148,,Anti-phospholipid antibody,X
86152,,Cell enumeration & id,X
86153,26,Cell enumeration phys interp,A
86155,,Chemotaxis assay,X
86156,,Cold agglutinin screen,X
86157,,Cold agglutinin titer,X
86160,,Complement antigen,X
86161,,Complement/function activity,X
86162,,Complement total (ch50),X
86171,,Complement fixation each,X
86200,,Ccp antibody,X
86215,,Deoxyribonuclease antibody,X
86225,,Dna antibody native,X
86226,,Dna antibody single strand,X
86231,,Ema each ig class,X
86235,,Nuclear antigen antibody,X
86255,,Fluorescent antibody screen,X
86255,26,Fluorescent antibody screen,A
86256,,Fluorescent antibody titer,X
86256,26,Fluorescent antibody titer,A
86258,,Dgp antibody each ig class,X
86277,,Growth hormone antibody,X
86280,,Hemagglutination inhibition,X
86294,,Immunoassay tumor qual,X
86300,,Immunoassay tumor ca 15-3,X
86301,,Immunoassay tumor ca 19-9,X
86304,,Immunoassay tumor ca 125,X
86305,,Human epididymis protein 4,X
86308,,Heterophile antibody screen,X
86309,,Heterophile antibody titer,X
86310,,Heterophile antibody absrbj,X
86316,,Immunoassay tumor other,X
86317,,Immunoassay infectious agent,X
86318,,Ia infectious agent antibody,X
86320,,Serum immunoelectrophoresis,X
86320,26,Serum immunoelectrophoresis,A
86325,,Other immunoelectrophoresis,X
86325,26,Other immunoelectrophoresis,A
86327,,Immunoelectrophoresis assay,X
86327,26,Immunoelectrophoresis assay,A
86328,,Ia nfct ab sarscov2 covid19,X
86329,,Immunodiffusion nes,X
86331,,Immunodiffusion ouchterlony,X
86332,,Immune complex assay,X
86334,,Immunofix e-phoresis serum,X
86334,26,Immunofix e-phoresis serum,A
86335,,Immunfix e-phorsis/urine/csf,X
86335,26,Immunfix e-phorsis/urine/csf,A
86336,,Inhibin a,X
86337,,Insulin antibodies,X
86340,,Intrinsic factor antibody,X
86341,,Islet cell antibody,X
86343,,Leukocyte histamine release,X
86344,,Leukocyte phagocytosis,X
86352,,Cell function assay w/stim,X
86353,,Lymphocyte transformation,X
86355,,B cells total count,X
86356,,Mononuclear cell antigen,X
86357,,Nk cells total count,X
86359,,T cells total count,X
86360,,T cell absolute count/ratio,X
86361,,T cell absolute count,X
86362,,Mog-igg1 antb cba each,X
86363,,Mog-igg1 antb flo cytmtry ea,X
86364,,Tiss trnsgltmnase ea ig clas,X
86366,,Muscle-specific kinase antb,X
86367,,Stem cells total count,X
86376,,Microsomal antibody each,X
86381,,Mitochondrial antibody each,X
86382,,Neutralization test viral,X
86384,,Nitroblue tetrazolium dye,X
86386,,Nuclear matrix protein 22,X
86403,,Particle agglut antbdy scrn,X
86406,,Particle agglut antbdy titr,X
86408,,Neutrlzg antb sarscov2 scr,X
86409,,Neutrlzg antb sarscov2 titer,X
86413,,Sars-cov-2 antb quantitative,X
86430,,Rheumatoid factor test qual,X
86431,,Rheumatoid factor quant,X
86480,,Tb test cell immun measure,X
86481,,Tb ag response t-cell susp,X
86485,,Skin test candida,C
86486,,Skin test unlisted antign ea,A
86490,,Coccidioidomycosis skin test,A
86510,,Histoplasmosis skin test,A
86580,,Tb intradermal test,A
86590,,Streptokinase antibody,X
86592,,Syphilis test non-trep qual,X
86593,,Syphilis test non-trep quant,X
86596,,Voltage-gtd ca chnl antb ea,X
86602,,Antinomyces antibody,X
